GCVS,STAR,CONST.,RA(2000),DEC,Type,V [mag],P [days],Spec
170594,V0594 ,Car, 9h 37m 24.3s,-63o 48' 46",EA  ,10.40,   3.165797   ,A5            
170598,V0598 ,Car,10h 42m 46.9s,-72o 59' 11",EA  ,10.82,   3.511518   ,              
170604,V0604 ,Car, 7h 14m 50.6s,-59o 16'  4",EW  , 9.16,   0.4722910  ,F7IV/V        
170605,V0605 ,Car, 7h 39m 50.2s,-53o 38' 28",EB  , 9.50,   0.688714   ,A1/2V         
170606,V0606 ,Car, 7h 44m 38.7s,-56o 42' 31",EA  , 8.31,  12.3192     ,B8/9III       
170608,V0608 ,Car, 8h  7m 34.0s,-55o 19' 37",EW  , 8.87,   0.967554   ,A0V           
170609,V0609 ,Car, 9h 10m 25.5s,-57o 30' 21",EA  ,10.97,   3.136060   ,              
170610,V0610 ,Car, 9h 22m 59.8s,-59o 44' 56",EA  ,10.19,   4.84493    ,B8            
170613,V0613 ,Car, 9h 35m 16.6s,-60o 27' 27",EA  ,12.2 ,   5.944141   ,              
170625,V0625 ,Car, 9h 50m 47.8s,-67o 23' 15",EW  ,11.17,   0.2769431  ,              
170632,V0632 ,Car, 9h 57m 50.3s,-58o 15' 32",EA  ,12.2 ,   7.135726   ,              
170635,V0635 ,Car,10h  0m 30.0s,-69o 58' 20",EA  ,12.7 ,   0.799959   ,              
170654,V0654 ,Car,10h 29m 24.6s,-60o  5' 15",EA  ,12.6 ,   2.873585   ,B8V           
170655,V0655 ,Car,10h 30m  8.8s,-66o 59'  4",EA  , 6.19,  16.9330     ,B4IV          
170658,V0658 ,Car,10h 38m 47.3s,-58o 43' 32",EA  , 9.10,  32.1864     ,Bp shell      
170661,V0661 ,Car,10h 44m  0.4s,-59o 52' 27",EA  , 8.05,  23.9439     ,O6III f       
170662,V0662 ,Car,10h 45m 36.3s,-59o 48' 23",EB  ,12.05,   1.4135547  ,O4V           
170665,V0665 ,Car,10h 51m 52.0s,-66o 20'  7",EA  ,10.96,  15.50938    ,              
170674,V0674 ,Car,11h  6m 50.2s,-59o 50' 48",EA  , 9.94,  19.811      ,B8            
170684,V0684 ,Car, 8h 57m 29.6s,-62o 53' 49",EA  , 8.76,   3.33751    ,A5IV/V        
170686,V0686 ,Car, 9h 33m 38.8s,-57o 42'  8",EA  , 8.92,   2.08489    ,A0V           
170713,V0713 ,Car,10h 27m 35.8s,-58o 23' 26",EA  , 9.45,   3.12881    ,B2V           
170714,V0714 ,Car,10h 28m 15.8s,-57o 41' 38",EA  , 9.68,   2.04530    ,B2            
170725,V0725 ,Car,10h 43m 30.8s,-59o 29' 23",EA  , 9.96,   9.411083   ,B0V n         
170731,V0731 ,Car,10h 45m 12.7s,-59o 44' 46",EA  , 9.27,   2.29995    ,OBV+O9.5V     
170733,V0733 ,Car,10h 46m 38.8s,-59o 23' 46",EA  ,10.7 ,   2.956925   ,B2-3          
170734,V0734 ,Car,10h 47m 27.8s,-59o 37' 46",EA  ,11.20,   3.10746    ,A             
170736,V0736 ,Car,10h 47m 38.9s,-60o 37'  4",EA  , 7.91,  17.7997     ,B1Vnep        
170738,V0738 ,Car,10h 48m 46.5s,-60o 35' 39",EB  , 9.08,   4.77813    ,B1IIIn        
170744,V0744 ,Car,10h 50m 41.4s,-59o 12' 45",EB  , 8.43,   1.51416    ,B9IV          
170772,V0772 ,Car,10h 55m 44.1s,-68o 47' 27",EB  , 7.98,   0.88417    ,A1V           
170829,V0829 ,Car,11h  9m 49.4s,-60o 28' 10",EA  , 9.42,   0.96280    ,B3.5V         
170831,V0831 ,Car,11h 15m 14.5s,-60o  9' 52",EA  , 7.70,  14.758      ,B1/2II/IIIn   
