GCVS,STAR,CONST.,RA(2000),DEC,Type,V[mag],P[days],Spec
190349,V0349,Cen,11h49m48.8s,-41o6'1",EW,12.88,0.455642,
190350,V0350,Cen,11h50m11.1s,-63o39'10",EB,10.35,3.216917,
190353,V0353,Cen,11h51m41.7s,-45o4'58",EA,11.76,6.685303,
190356,V0356,Cen,11h55m16.8s,-49o8'46",EW,14.7,0.3109235,
190363,V0363,Cen,12h5m20.2s,-47o10'1",EA,13.1,2.862458,
190365,V0365,Cen,12h9m13.8s,-48o28'21",EA,13.1,9.55001,
190377,V0377,Cen,12h57m17.5s,-48o3'38",EA,8.87,16.502780,A1V
190379,V0379,Cen,13h25m21.3s,-59o46'53",EA,8.78,1.8746863,B5V
190380,V0380,Cen,13h27m23.4s,-61o52'26",EB,9.48,1.0871990,B3/5V
190382,V0382,Cen,11h33m54.6s,-60o50'33",EA,13.3,6.0137,
190383,V0383,Cen,11h37m49.5s,-60o35'51",EA,13.1,6.78459,
190384,V0384,Cen,11h39m17.3s,-62o10'29",EA,11.68,12.635401,
190385,V0385,Cen,11h40m33.9s,-48o39'22",EA,12.5,1.0626635,
190386,V0386,Cen,11h40m56.1s,-48o33'6",EA,14.6,1.383374,
190387,V0387,Cen,11h44m1.0s,-63o11'22",EA,12.9,12.77143,
190388,V0388,Cen,12h1m50.2s,-45o38'15",EB,13.05,4.462920,
190393,V0393,Cen,12h24m46.7s,-44o33'53",EA,12.2,3.185865,
190399,V0399,Cen,13h22m0.9s,-59o46'6",EA,13.0,1.746679,
190402,V0402,Cen,13h28m23.3s,-63o35'2",EA,9.20,3.7204584,A0IV
190404,V0404,Cen,13h32m43.3s,-60o2'4",EA,12.25,4.54842,
190406,V0406,Cen,13h41m29.9s,-63o55'44",EA,12.21,5.667,
190413,V0413,Cen,14h4m40.6s,-58o53'32",EA,9.82,8.022078,B8IV-V
190416,V0416,Cen,14h15m45.3s,-60o43'53",EA,10.6,8.21074,
190441,V0441,Cen,11h24m0.2s,-58o53'3",EA,13.1,2.022476,
190443,V0443,Cen,11h25m22.5s,-59o37'39",EA,12.8,8.893155,
190495,V0495,Cen,13h1m34.8s,-56o5'30",EA,9.93,33.48735,Be
190498,V0498,Cen,13h42m25.1s,-45o5'54",EA,10.93,0.7575133,
190508,V0508,Cen,14h14m56.7s,-41o35'53",EW,12.3,0.3293644,
190565,V0565,Cen,14h51m14.5s,-40o58'33",EW,13.5,0.476148,
190576,V0576,Cen,11h56m12.8s,-35o59'31",EW,12.3,0.378016,
190581,V0581,Cen,11h57m57.2s,-36o6'12",EW,13.95,0.3462422,
190585,V0585,Cen,12h3m7.2s,-40o39'22",EB,12.6,0.6142692,
190593,V0593,Cen,13h17m13.3s,-62o37'33",EW,10.26,0.7553457,B1V
190594,V0594,Cen,13h23m37.8s,-47o11'6",EW,12.95,0.3170990,
190600,V0600,Cen,12h38m40.9s,-37o33'30",EA,12.42,1.6052107,
190606,V0606,Cen,13h21m36.3s,-60o31'14",EB,9.40,1.4950975,B0-0.5V+B2-3V
190607,V0607,Cen,13h25m12.8s,-63o25'48",EB,12.4,4.444728,
190608,V0608,Cen,13h29m48.4s,-63o6'33",EB,11.95,1.62875,
190609,V0609,Cen,13h31m27.6s,-54o35'24",EW,13.3,0.458448,
190614,V0614,Cen,13h44m50.9s,-59o27'58",EA,10.57,6.9471803,B9/A0V
190615,V0615,Cen,13h48m45.2s,-55o29'2",EW,12.1,0.4066621,
190617,V0617,Cen,13h50m51.3s,-57o48'13",EA,12.8,40.15655,
190621,V0621,Cen,14h2m49.5s,-62o43'23",EA,10.13,3.683543,B8/9II/III
190624,V0624,Cen,14h6m23.8s,-54o37'34",EA,14.8,0.70008245,
190625,V0625,Cen,14h6m37.3s,-56o42'19",EW,14.4,0.4697062,
190628,V0628,Cen,14h9m30.8s,-59o2'35",EA,12.8,3.7401169,
190630,V0630,Cen,14h11m42.0s,-62o50'34",EA,12.9,0.7295228,
190632,V0632,Cen,14h13m39.6s,-59o25'57",E,14.9,2.891291,
190636,V0636,Cen,14h16m57.9s,-49o56'42",EA,8.68,4.283943,G0V+G7V
190646,V0646,Cen,11h36m58.8s,-53o12'35",EA,8.96,2.2465734,B8IV
190656,V0656,Cen,13h15m25.0s,-31o20'3",EA,13.02,2.508935,
190672,V0672,Cen,13h45m7.9s,-46o9'33",EB,11.5,0.508863,
190673,V0673,Cen,14h3m14.6s,-48o47'30",EA,9.95,0.9326598,A
190676,V0676,Cen,14h37m50.8s,-38o50'44",EW,11.1,0.2923955,
190677,V0677,Cen,14h42m34.7s,-40o27'16",EW,10.8,0.3250313,
190678,V0678,Cen,14h51m23.9s,-37o40'47",EB,10.35,1.3017925,
190684,V0684,Cen,11h23m17.4s,-61o36'50",EA,13.6,8.0113,
190685,V0685,Cen,11h24m26.6s,-57o43'40",EB,8.83,1.190961,B9IV/V
190687,V0687,Cen,11h31m44.5s,-61o57'5",EA,13.8,1.896194,
190688,V0688,Cen,11h31m50.4s,-62o33'24",EB,12.6,0.946073,
190689,V0689,Cen,11h36m52.8s,-58o14'0",EB,12.5,0.5585358,
190690,V0690,Cen,11h45m11.7s,-62o44'24",EA,14.6,1.1814615,
190691,V0691,Cen,11h47m22.4s,-61o37'31",EA,12.3,7.36653,
190692,V0692,Cen,11h53m31.5s,-63o15'27",EA,11.8,1.723715,
190697,V0697,Cen,13h19m7.6s,-58o29'7",EA,13.2,2.0600485,
190700,V0700,Cen,13h28m9.8s,-32o43'25",EA,11.8,0.764964,
190701,V0701,Cen,13h31m37.7s,-51o46'17",EB,8.77,0.73845,A0V+A3IV-V
190716,V0716,Cen,14h13m39.8s,-54o37'32",EB,6.08,1.490096,B5V
190721,V0721,Cen,14h18m25.6s,-31o9'26",EA,13.14,1.3156683,
190742,V0742,Cen,11h27m27.8s,-41o30'50",EA,9.53,0.864454,B7.5V
190745,V0745,Cen,14h27m15.3s,-62o3'37",EA,9.37,3.0251003,B6/8Ib/II
190747,V0747,Cen,13h39m23.8s,-45o5'54",EB,9.82,0.5371948,A9/F0V
190752,V0752,Cen,11h42m48.1s,-35o48'57",EW,9.15,0.3702300,F8V
190754,V0754,Cen,12h59m43.3s,-58o58'41",EA,11.5,3.7658834,
190757,V0757,Cen,13h51m55.7s,-36o37'24",EW,8.40,0.3431676,
190758,V0758,Cen,13h52m42.9s,-55o32'27",EB,9.46,0.5807845,B9IV
